date,state,total doses,first dose,second dose
2021-01-12,Pennsylvania,276879,266288,10591
2021-01-13,Pennsylvania,303989,285938,18051
2021-01-14,Pennsylvania,396317,353821,42496
2021-01-15,Pennsylvania,447668,380727,66941
2021-01-16,Pennsylvania,471717,401630,70087
2021-01-17,Pennsylvania,495766,422533,73233
2021-01-18,Pennsylvania,519815,443436,76379
2021-01-19,Pennsylvania,543865,464339,79526
2021-01-20,Pennsylvania,568081,482791,85290
2021-01-21,Pennsylvania,604786,508391,96395
2021-01-22,Pennsylvania,652123,539431,112692
2021-01-23,Pennsylvania,695077,572228,122849
2021-01-24,Pennsylvania,743267,611359,131908
2021-01-25,Pennsylvania,775465,639526,135939
2021-01-26,Pennsylvania,799015,657711,141304
2021-01-27,Pennsylvania,850529,693731,156798
2021-01-28,Pennsylvania,854915,695656,159259
2021-01-29,Pennsylvania,970692,777260,193432
2021-01-30,Pennsylvania,1029853,819889,209964
2021-01-31,Pennsylvania,1085510,862021,223489
2021-02-01,Pennsylvania,1131498,900237,231261
2021-02-02,Pennsylvania,1153230,916235,236995
2021-02-03,Pennsylvania,1155373,917497,237876
2021-02-04,Pennsylvania,1215842,958587,257255
2021-02-05,Pennsylvania,1268520,993076,275444
2021-02-06,Pennsylvania,1335136,1036395,298741
2021-02-07,Pennsylvania,1404036,1082700,321336
2021-02-08,Pennsylvania,1437533,1108626,328907
2021-02-09,Pennsylvania,1474333,1134099,340234
2021-02-10,Pennsylvania,1533694,1176825,356869
2021-02-11,Pennsylvania,1589637,1215755,373882
2021-02-12,Pennsylvania,1663825,1264215,399610
2021-02-13,Pennsylvania,1673164,1269266,403898
2021-02-14,Pennsylvania,1816735,1363250,453485
2021-02-15,Pennsylvania,1821882,1366621,455261
2021-02-16,Pennsylvania,1827029,1369992,457037
2021-02-17,Pennsylvania,1944004,1445138,498866
2021-02-18,Pennsylvania,1996431,1478146,518285
2021-02-19,Pennsylvania,2178359,1601176,577183
2021-02-20,Pennsylvania,2225018,1628681,596337
2021-02-21,Pennsylvania,2299725,1667727,631998
2021-02-22,Pennsylvania,2354485,1699811,654674
2021-02-23,Pennsylvania,2377686,1710379,667307
2021-02-24,Pennsylvania,2421374,1731971,689403
2021-02-25,Pennsylvania,2485164,1766202,718962
2021-02-26,Pennsylvania,2557509,1804661,752848
2021-02-27,Pennsylvania,2669299,1868724,800575
2021-02-28,Pennsylvania,2745288,1911844,833444
2021-03-01,Pennsylvania,2828011,1956197,871814
2021-03-02,Pennsylvania,2880501,1991624,888877
2021-03-03,Pennsylvania,2942790,2027725,915065
2021-03-04,Pennsylvania,3030385,2080306,950079
2021-03-05,Pennsylvania,3162852,2174827,988025
2021-03-06,Pennsylvania,3290512,2257020,1033492
2021-03-07,Pennsylvania,3313191,2274225,1038966
2021-03-08,Pennsylvania,3332345,2289199,1043146
2021-03-09,Pennsylvania,3519353,2401448,1117905
2021-03-10,Pennsylvania,3632234,2470284,1161950
2021-03-11,Pennsylvania,3734263,2530355,1203908
2021-03-12,Pennsylvania,3759706,2548224,1211482
2021-03-13,Pennsylvania,4093037,2751412,1341625
2021-03-14,Pennsylvania,4190724,2812196,1378528
2021-03-15,Pennsylvania,4284967,2862957,1422010
2021-03-16,Pennsylvania,4344438,2901757,1442681
2021-03-17,Pennsylvania,4551357,3012928,1538429
2021-03-18,Pennsylvania,4667719,3087042,1580677
2021-03-19,Pennsylvania,4692800,3104875,1587925
2021-03-20,Pennsylvania,4721664,3124834,1596830
2021-03-21,Pennsylvania,4729735,3130512,1599223
2021-03-22,Pennsylvania,4848873,3209843,1639030
2021-03-23,Pennsylvania,5264012,3481464,1782548
2021-03-24,Pennsylvania,5407023,3578990,1828033
2021-03-25,Pennsylvania,5444581,3601385,1843196
2021-03-26,Pennsylvania,5638564,3739501,1899063
2021-03-27,Pennsylvania,5796499,3842037,1954462
2021-03-28,Pennsylvania,5924978,3917341,2007637
2021-03-29,Pennsylvania,6027302,3971897,2055405
2021-03-30,Pennsylvania,6088091,4003172,2084919
2021-03-31,Pennsylvania,6199694,4071410,2128284
2021-04-01,Pennsylvania,6350891,4153159,2197732
2021-04-02,Pennsylvania,6538779,4283487,2255292
2021-04-03,Pennsylvania,6711114,4383439,2327675
2021-04-04,Pennsylvania,6836938,4457192,2379746
2021-04-05,Pennsylvania,6929603,4505442,2424161
2021-04-06,Pennsylvania,6977399,4528588,2448811
2021-04-07,Pennsylvania,6998936,4537537,2461399
2021-04-08,Pennsylvania,7032388,4552690,2479698
2021-04-09,Pennsylvania,7119510,4607194,2512316
2021-04-10,Pennsylvania,7702053,4926401,2775652
2021-04-11,Pennsylvania,7823849,4986237,2837612
2021-04-12,Pennsylvania,7971702,5059892,2911810
2021-04-13,Pennsylvania,8112001,5129217,2982784
2021-04-14,Pennsylvania,8254695,5204337,3050358
2021-04-15,Pennsylvania,8409837,5289073,3120764
2021-04-16,Pennsylvania,8599901,5385761,3214140
2021-04-17,Pennsylvania,8743028,5461018,3282010
2021-04-18,Pennsylvania,8871449,5525174,3346275
2021-04-19,Pennsylvania,8946246,5559900,3386346
2021-04-20,Pennsylvania,9046005,5618596,3427409
2021-04-21,Pennsylvania,9226607,5720590,3506017
2021-04-22,Pennsylvania,9362986,5796239,3566747
2021-04-23,Pennsylvania,9597144,5912750,3684394
2021-04-24,Pennsylvania,9788410,6011913,3776497
2021-04-25,Pennsylvania,9886594,6058101,3828493
2021-04-26,Pennsylvania,9971854,6103395,3868459
2021-04-27,Pennsylvania,10055155,6151465,3903690
2021-04-28,Pennsylvania,10161324,6204777,3956547
2021-04-29,Pennsylvania,10294867,6267560,4027307
2021-04-30,Pennsylvania,10418654,6326613,4092041
2021-05-01,Pennsylvania,10609517,6417965,4191552
2021-05-02,Pennsylvania,10671514,6444967,4226547
2021-05-03,Pennsylvania,10743390,6479070,4264320
2021-05-04,Pennsylvania,10818068,6509831,4308237
2021-05-05,Pennsylvania,10914558,6550777,4363781
2021-05-06,Pennsylvania,11034429,6601129,4433300
2021-05-07,Pennsylvania,11154154,6647012,4507142
2021-05-08,Pennsylvania,11277845,6698507,4579338
2021-05-09,Pennsylvania,11357021,6727935,4629086
2021-05-10,Pennsylvania,11414006,6751378,4662628
2021-05-11,Pennsylvania,11518204,6793943,4724261
2021-05-12,Pennsylvania,11594406,6820328,4774078
2021-05-13,Pennsylvania,11709676,6866823,4842853
2021-05-14,Pennsylvania,11786639,6896760,4889879
2021-05-15,Pennsylvania,11884916,6940458,4944458
2021-05-16,Pennsylvania,11986234,6984945,5001289
2021-05-17,Pennsylvania,12043544,7010884,5032660
2021-05-18,Pennsylvania,12109835,7038721,5071114
2021-05-19,Pennsylvania,12225388,7090220,5135168
2021-05-20,Pennsylvania,12312829,7129435,5183394
2021-05-21,Pennsylvania,12420222,7185382,5234840
2021-05-22,Pennsylvania,12519094,7228573,5290521
2021-05-23,Pennsylvania,12583884,7257639,5326245
2021-05-24,Pennsylvania,12632536,7278884,5353652
2021-05-25,Pennsylvania,12675392,7296700,5378692
2021-05-26,Pennsylvania,12749268,7331331,5417937
2021-05-27,Pennsylvania,12831870,7368901,5462969
2021-05-28,Pennsylvania,12904793,7403072,5501721
2021-05-29,Pennsylvania,12988235,7443313,5544922
2021-05-30,Pennsylvania,13040303,7466772,5573531
2021-05-31,Pennsylvania,13063249,7477914,5585335
2021-06-01,Pennsylvania,13086196,7489056,5597140
2021-06-02,Pennsylvania,13120578,7504071,5616507
2021-06-03,Pennsylvania,13151430,7518165,5633265
2021-06-04,Pennsylvania,13283389,7571498,5711891
2021-06-05,Pennsylvania,13353151,7602711,5750440
2021-06-06,Pennsylvania,13355904,7603927,5751977
2021-06-07,Pennsylvania,13404403,7625623,5778780
2021-06-08,Pennsylvania,13491227,7660201,5831026
2021-06-09,Pennsylvania,13518852,7670850,5848002
2021-06-10,Pennsylvania,13569327,7691157,5878170
2021-06-11,Pennsylvania,13622002,7722526,5899476
2021-06-12,Pennsylvania,13701173,7756153,5945020
2021-06-13,Pennsylvania,13758655,7777784,5980871
2021-06-14,Pennsylvania,13810600,7798877,6011723
2021-06-15,Pennsylvania,13860659,7817010,6043649
2021-06-16,Pennsylvania,13863366,7818311,6045055
2021-06-17,Pennsylvania,13978213,7860716,6117497
2021-06-18,Pennsylvania,14035175,7885699,6149476
2021-06-19,Pennsylvania,14073754,7900513,6173241
2021-06-20,Pennsylvania,14112245,7916522,6195723
2021-06-21,Pennsylvania,14135367,7925876,6209491
2021-06-22,Pennsylvania,14155333,7934904,6220429
2021-06-23,Pennsylvania,14184576,7949302,6235274
2021-06-24,Pennsylvania,14222121,7965701,6256420
2021-06-25,Pennsylvania,14252693,7978504,6274189
2021-06-26,Pennsylvania,14289889,7994189,6295700
2021-06-27,Pennsylvania,14312453,8004155,6308298
2021-06-28,Pennsylvania,14348741,8017628,6331113
2021-06-29,Pennsylvania,14360608,8023155,6337453
2021-06-30,Pennsylvania,14375509,8030076,6345433
2021-07-01,Pennsylvania,14416942,8048402,6368540
2021-07-02,Pennsylvania,14447420,8062309,6385111
2021-07-03,Pennsylvania,14478172,8076538,6401634
2021-07-04,Pennsylvania,14479387,8077161,6402226
2021-07-05,Pennsylvania,14504034,8088855,6415179
2021-07-06,Pennsylvania,14528683,8100550,6428133
2021-07-07,Pennsylvania,14548917,8109901,6439016
2021-07-08,Pennsylvania,14575423,8121911,6453512
2021-07-09,Pennsylvania,14590043,8128648,6461395
2021-07-10,Pennsylvania,14613874,8140109,6473765
2021-07-11,Pennsylvania,14637991,8151350,6486641
2021-07-12,Pennsylvania,14651390,8157566,6493824
2021-07-13,Pennsylvania,14667080,8165175,6501905
2021-07-14,Pennsylvania,14689791,8176036,6513755
2021-07-15,Pennsylvania,14712604,8187472,6525132
2021-07-16,Pennsylvania,14740096,8200656,6539440
2021-07-17,Pennsylvania,14763416,8212496,6550920
2021-07-18,Pennsylvania,14780992,8221360,6559632
2021-07-19,Pennsylvania,14804049,8232912,6571137
2021-07-20,Pennsylvania,14814683,8238751,6575932
2021-07-21,Pennsylvania,14845923,8254308,6591615
2021-07-22,Pennsylvania,14867502,8266324,6601178
2021-07-23,Pennsylvania,14895057,8281904,6613153
2021-07-24,Pennsylvania,14923626,8296759,6626867
2021-07-25,Pennsylvania,14946881,8309942,6636939
2021-07-26,Pennsylvania,14960887,8318601,6642286
2021-07-27,Pennsylvania,14969717,8324369,6645348
2021-07-28,Pennsylvania,15004432,8344659,6659773
2021-07-29,Pennsylvania,15043193,8361752,6681441
2021-07-30,Pennsylvania,15071708,8378102,6693606
2021-07-31,Pennsylvania,15073413,8379145,6694268
2021-08-01,Pennsylvania,15138326,8415916,6722410
2021-08-02,Pennsylvania,15158676,8428764,6729912
2021-08-03,Pennsylvania,15162406,8431170,6731236
2021-08-04,Pennsylvania,15190777,8447705,6743072
2021-08-05,Pennsylvania,15221804,8466970,6754834
