date,state,total doses,first dose,second dose
2021-01-12,Kansas,63565,53988,9577
2021-01-13,Kansas,70947,58477,12470
2021-01-14,Kansas,90573,77590,12983
2021-01-15,Kansas,96789,83293,13496
2021-01-16,Kansas,101947,87925,14022
2021-01-17,Kansas,107107,92558,14549
2021-01-18,Kansas,112266,97191,15075
2021-01-19,Kansas,117426,101824,15602
2021-01-20,Kansas,121692,105679,16013
2021-01-21,Kansas,129337,111907,17430
2021-01-22,Kansas,135894,116569,19325
2021-01-23,Kansas,143696,122813,20883
2021-01-24,Kansas,150027,127417,22610
2021-01-25,Kansas,153496,129861,23635
2021-01-26,Kansas,157502,132153,25349
2021-01-27,Kansas,167142,140685,26457
2021-01-28,Kansas,188965,157536,31429
2021-01-29,Kansas,189202,157720,31482
2021-01-30,Kansas,205081,168343,36738
2021-01-31,Kansas,219909,180156,39753
2021-02-01,Kansas,225332,183035,42297
2021-02-02,Kansas,229485,185065,44420
2021-02-03,Kansas,239420,192026,47394
2021-02-04,Kansas,249674,198352,51322
2021-02-05,Kansas,261831,206997,54834
2021-02-06,Kansas,278373,218170,60203
2021-02-07,Kansas,294333,228774,65559
2021-02-08,Kansas,301140,232575,68565
2021-02-09,Kansas,303609,233494,70115
2021-02-10,Kansas,317688,241127,76561
2021-02-11,Kansas,330927,248979,81948
2021-02-12,Kansas,347929,261332,86597
2021-02-13,Kansas,365007,273430,91577
2021-02-14,Kansas,387072,287680,99392
2021-02-15,Kansas,390699,289703,100996
2021-02-16,Kansas,394327,291726,102601
2021-02-17,Kansas,402199,295950,106249
2021-02-18,Kansas,414816,302165,112651
2021-02-19,Kansas,462726,334112,128614
2021-02-20,Kansas,484730,345965,138765
2021-02-21,Kansas,505279,356901,148378
2021-02-22,Kansas,543063,379563,163500
2021-02-23,Kansas,546303,381430,164873
2021-02-24,Kansas,560055,388418,171637
2021-02-25,Kansas,572018,394141,177877
2021-02-26,Kansas,590972,405241,185731
2021-02-27,Kansas,614016,416368,197648
2021-02-28,Kansas,639568,430237,209331
2021-03-01,Kansas,652223,439896,212327
2021-03-02,Kansas,660782,444176,216606
2021-03-03,Kansas,674778,451969,222809
2021-03-04,Kansas,691312,462106,229206
2021-03-05,Kansas,713551,475698,237853
2021-03-06,Kansas,738720,491746,246974
2021-03-07,Kansas,765860,508326,257534
2021-03-08,Kansas,777005,515054,261951
2021-03-09,Kansas,786362,521147,265215
2021-03-10,Kansas,805289,532078,273211
2021-03-11,Kansas,833288,548492,284796
2021-03-12,Kansas,886401,582831,303570
2021-03-13,Kansas,892178,586038,306140
2021-03-14,Kansas,941475,618089,323386
2021-03-15,Kansas,953233,623934,329299
2021-03-16,Kansas,962767,628555,334212
2021-03-17,Kansas,978361,638421,339940
2021-03-18,Kansas,1007635,659314,348321
2021-03-19,Kansas,1047460,686025,361435
2021-03-20,Kansas,1087425,713468,373957
2021-03-21,Kansas,1125936,737576,388360
2021-03-22,Kansas,1136205,742985,393220
2021-03-23,Kansas,1144976,747131,397845
2021-03-24,Kansas,1172588,762289,410299
2021-03-25,Kansas,1199862,779552,420310
2021-03-26,Kansas,1231864,800279,431585
2021-03-27,Kansas,1282187,829687,452500
2021-03-28,Kansas,1317794,846744,471050
2021-03-29,Kansas,1331204,854185,477019
2021-03-30,Kansas,1340587,859214,481373
2021-03-31,Kansas,1364212,873196,491016
2021-04-01,Kansas,1387112,887503,499609
2021-04-02,Kansas,1447913,928566,519347
2021-04-03,Kansas,1492770,957516,535254
2021-04-04,Kansas,1535063,980566,554497
2021-04-05,Kansas,1548035,988149,559886
2021-04-06,Kansas,1552462,990012,562450
2021-04-07,Kansas,1591071,1013346,577725
2021-04-08,Kansas,1622611,1028901,593710
2021-04-09,Kansas,1658304,1048351,609953
2021-04-10,Kansas,1705493,1071232,634261
2021-04-11,Kansas,1748827,1089568,659259
2021-04-12,Kansas,1764094,1097450,666644
2021-04-13,Kansas,1777849,1102988,674861
2021-04-14,Kansas,1805040,1115228,689812
2021-04-15,Kansas,1839617,1129765,709852
2021-04-16,Kansas,1879635,1147957,731678
2021-04-17,Kansas,1913002,1160023,752979
2021-04-18,Kansas,1940953,1169036,771917
2021-04-19,Kansas,1954156,1174632,779524
2021-04-20,Kansas,1959650,1177349,782301
2021-04-21,Kansas,1978960,1184543,794417
2021-04-22,Kansas,2010458,1196349,814109
2021-04-23,Kansas,2040049,1206150,833899
2021-04-24,Kansas,2066037,1212818,853219
2021-04-25,Kansas,2090700,1219082,871618
2021-04-26,Kansas,2098504,1221259,877245
2021-04-27,Kansas,2102609,1223021,879588
2021-04-28,Kansas,2118203,1228189,890014
2021-04-29,Kansas,2135800,1233392,902408
2021-04-30,Kansas,2154997,1238463,916534
2021-05-01,Kansas,2177129,1244566,932563
2021-05-02,Kansas,2196698,1249696,947002
2021-05-03,Kansas,2199780,1250860,948920
2021-05-04,Kansas,2203743,1252195,951548
2021-05-05,Kansas,2214835,1255546,959289
2021-05-06,Kansas,2230574,1260478,970096
2021-05-07,Kansas,2260833,1266656,994177
2021-05-08,Kansas,2275263,1270365,1004898
2021-05-09,Kansas,2292890,1275039,1017851
2021-05-10,Kansas,2299166,1276977,1022189
2021-05-11,Kansas,2307518,1280132,1027386
2021-05-12,Kansas,2320395,1285014,1035381
2021-05-13,Kansas,2328977,1287998,1040979
2021-05-14,Kansas,2338720,1291346,1047374
2021-05-15,Kansas,2349662,1295307,1054355
2021-05-16,Kansas,2361900,1300849,1061051
2021-05-17,Kansas,2365123,1302672,1062451
2021-05-18,Kansas,2369275,1304916,1064359
2021-05-19,Kansas,2378563,1309123,1069440
2021-05-20,Kansas,2387909,1314313,1073596
2021-05-21,Kansas,2399041,1320748,1078293
2021-05-22,Kansas,2412392,1328474,1083918
2021-05-23,Kansas,2425911,1335534,1090377
2021-05-24,Kansas,2429910,1337778,1092132
2021-05-25,Kansas,2435369,1340897,1094472
2021-05-26,Kansas,2448175,1346445,1101730
2021-05-27,Kansas,2454349,1349850,1104499
2021-05-28,Kansas,2461138,1353364,1107774
2021-05-29,Kansas,2474034,1359415,1114619
2021-05-30,Kansas,2481680,1362918,1118762
2021-05-31,Kansas,2484073,1364281,1119792
2021-06-01,Kansas,2486468,1365645,1120823
2021-06-02,Kansas,2488449,1366734,1121715
2021-06-03,Kansas,2489166,1367017,1122149
2021-06-04,Kansas,2501265,1372739,1128526
2021-06-05,Kansas,2501851,1373062,1128789
2021-06-06,Kansas,2508461,1376353,1132108
2021-06-07,Kansas,2513374,1378624,1134750
2021-06-08,Kansas,2528076,1384299,1143777
2021-06-09,Kansas,2528796,1384566,1144230
2021-06-10,Kansas,2535916,1387300,1148616
2021-06-11,Kansas,2542804,1390105,1152699
2021-06-12,Kansas,2551512,1393739,1157773
2021-06-13,Kansas,2559722,1396343,1163379
2021-06-14,Kansas,2561414,1396626,1164788
2021-06-15,Kansas,2572163,1400564,1171599
2021-06-16,Kansas,2577490,1401852,1175638
2021-06-17,Kansas,2586923,1405548,1181375
2021-06-18,Kansas,2592921,1407778,1185143
2021-06-19,Kansas,2599010,1410210,1188800
2021-06-20,Kansas,2604104,1412102,1192002
2021-06-21,Kansas,2607937,1413782,1194155
