date,state,total doses,first dose,second dose
2021-01-12,California,803629,703540,100089
2021-01-13,California,878234,744545,133689
2021-01-14,California,971029,801998,169031
2021-01-15,California,1069761,865387,204374
2021-01-16,California,1166522,948032,218490
2021-01-17,California,1263284,1030678,232606
2021-01-18,California,1360045,1113323,246722
2021-01-19,California,1456807,1195969,260838
2021-01-20,California,1528587,1255311,273276
2021-01-21,California,1629720,1335886,293834
2021-01-22,California,1799034,1477195,321839
2021-01-23,California,2003414,1661683,341731
2021-01-24,California,2194846,1838464,356382
2021-01-25,California,2325530,1954048,371482
2021-01-26,California,2441215,2053652,387563
2021-01-27,California,2573635,2156029,417606
2021-01-28,California,2740038,2281453,458585
2021-01-29,California,2903211,2415659,487552
2021-01-30,California,3087909,2563559,524350
2021-01-31,California,3276507,2717530,558977
2021-02-01,California,3443752,2861767,581985
2021-02-02,California,3532533,2940488,592045
2021-02-03,California,3658825,3044980,613845
2021-02-04,California,3711121,3085932,625189
2021-02-05,California,3903111,3228084,675027
2021-02-06,California,4117899,3389906,727993
2021-02-07,California,4462370,3653538,808832
2021-02-08,California,4659708,3811715,847993
2021-02-09,California,4755593,3880253,875340
2021-02-10,California,4923584,3994969,928615
2021-02-11,California,5098344,4108216,990128
2021-02-12,California,5303850,4222810,1081040
2021-02-13,California,5523595,4345018,1178577
2021-02-14,California,5780610,4493220,1287390
2021-02-15,California,5972719,4600913,1371806
2021-02-16,California,6164829,4708607,1456222
2021-02-17,California,6274421,4766592,1507829
2021-02-18,California,6446692,4865151,1581541
2021-02-19,California,6913785,5159868,1753917
2021-02-20,California,7150123,5285256,1864867
2021-02-21,California,7401079,5426591,1974488
2021-02-22,California,7539855,5494435,2045420
2021-02-23,California,7662906,5560177,2102729
2021-02-24,California,7810217,5639811,2170406
2021-02-25,California,7997026,5737092,2259934
2021-02-26,California,8242663,5862161,2380502
2021-02-27,California,8497374,5994948,2502426
2021-02-28,California,8751106,6141765,2609341
2021-03-01,California,9034753,6294258,2740495
2021-03-02,California,9421506,6520515,2900991
2021-03-03,California,9654141,6661278,2992863
2021-03-04,California,9782062,6739681,3042381
2021-03-05,California,9992500,6868469,3124031
2021-03-06,California,10334153,7075139,3259014
2021-03-07,California,10553255,7205989,3347266
2021-03-08,California,10725071,7318100,3406971
2021-03-09,California,10845029,7400238,3444791
2021-03-10,California,10982184,7497005,3485179
2021-03-11,California,11141715,7600220,3541495
2021-03-12,California,11353667,7738923,3614744
2021-03-13,California,11844729,8025538,3819191
2021-03-14,California,11847285,8027407,3819878
2021-03-15,California,12289851,8287692,4002159
2021-03-16,California,12693523,8540236,4153287
2021-03-17,California,13194508,8847129,4347379
2021-03-18,California,13615075,9097819,4517256
2021-03-19,California,13947096,9302378,4644718
2021-03-20,California,14355313,9562989,4792324
2021-03-21,California,14814465,9833939,4980526
2021-03-22,California,15173350,10070870,5102480
2021-03-23,California,15482452,10279020,5203432
2021-03-24,California,15859047,10522002,5337045
2021-03-25,California,16238743,10757446,5481297
2021-03-26,California,16725160,11059981,5665179
2021-03-27,California,17154099,11323197,5830902
2021-03-28,California,17557330,11574081,5983249
2021-03-29,California,17934169,11802833,6131336
2021-03-30,California,18157967,11929476,6228491
2021-03-31,California,18468443,12120118,6348325
2021-04-01,California,18862499,12376871,6485628
2021-04-02,California,19262741,12625303,6637438
2021-04-03,California,19752655,12935569,6817086
2021-04-04,California,20312636,13292476,7020160
2021-04-05,California,20695748,13529603,7166145
2021-04-06,California,20886550,13636653,7249897
2021-04-07,California,21303025,13880287,7422738
2021-04-08,California,21722567,14123008,7599559
2021-04-09,California,22267411,14445185,7822226
2021-04-10,California,22914163,14803675,8110488
2021-04-11,California,23456212,15123816,8332396
2021-04-12,California,23780245,15320888,8459357
2021-04-13,California,24004873,15451699,8553174
2021-04-14,California,24493904,15797249,8696655
2021-04-15,California,25084529,16125197,8959332
2021-04-16,California,25914703,16475520,9439183
2021-04-17,California,26450103,16772771,9677332
2021-04-18,California,26974410,17076852,9897558
2021-04-19,California,27317806,17276172,10041634
2021-04-20,California,27572416,17416580,10155836
2021-04-21,California,27898730,17580352,10318378
2021-04-22,California,28270892,17777364,10493528
2021-04-23,California,28613901,17946816,10667085
2021-04-24,California,29186698,18212594,10974104
2021-04-25,California,29688941,18487072,11201869
2021-04-26,California,30040980,18667924,11373056
2021-04-27,California,30263340,18786816,11476524
2021-04-28,California,30531460,18913274,11618186
2021-04-29,California,30851424,19054736,11796688
2021-04-30,California,31123857,19178416,11945441
2021-05-01,California,31727105,19444906,12282199
2021-05-02,California,32098949,19593096,12505853
2021-05-03,California,32299665,19673364,12626301
2021-05-04,California,32388469,19712296,12676173
2021-05-05,California,32595199,19786568,12808631
2021-05-06,California,32931152,19913672,13017480
2021-05-07,California,33316898,20047380,13269518
2021-05-08,California,33720017,20172726,13547291
2021-05-09,California,34081974,20284982,13796992
2021-05-10,California,34422758,20393934,14028824
2021-05-11,California,34627341,20468460,14158881
2021-05-12,California,34818455,20534648,14283807
2021-05-13,California,35094600,20623588,14471012
2021-05-14,California,35335613,20694880,14640733
2021-05-15,California,35742114,20838068,14904046
2021-05-16,California,36149224,20995336,15153888
2021-05-17,California,36380835,21092952,15287883
2021-05-18,California,36559595,21168286,15391309
2021-05-19,California,36814504,21273160,15541344
2021-05-20,California,37107831,21390052,15717779
2021-05-21,California,37438660,21531028,15907632
2021-05-22,California,37784761,21686712,16098049
2021-05-23,California,38130168,21818408,16311760
2021-05-24,California,38305323,21898286,16407037
2021-05-25,California,38415850,21951900,16463950
2021-05-26,California,38576710,22021826,16554884
2021-05-27,California,38773719,22109032,16664687
2021-05-28,California,38987526,22205874,16781652
2021-05-29,California,39188102,22297568,16890534
2021-05-30,California,39389772,22389100,17000672
2021-05-31,California,39498672,22446084,17052588
2021-06-01,California,39607572,22503068,17104504
2021-06-02,California,39654248,22526276,17127972
2021-06-03,California,39779208,22573960,17205248
2021-06-04,California,39977004,22679600,17297404
2021-06-05,California,40290066,22815648,17474418
2021-06-06,California,40514238,22894006,17620232
2021-06-07,California,40708646,22957252,17751394
2021-06-08,California,40803506,22990100,17813406
2021-06-09,California,40939458,23037640,17901818
2021-06-10,California,40942280,23038864,17903416
2021-06-11,California,41142440,23112688,18029752
2021-06-12,California,41427618,23211912,18215706
2021-06-13,California,41598212,23274646,18323566
2021-06-14,California,41742440,23325860,18416580
2021-06-15,California,41877566,23370026,18507540
2021-06-16,California,42115830,23455298,18660532
2021-06-17,California,42267916,23516676,18751240
2021-06-18,California,42422638,23582084,18840554
2021-06-19,California,42586338,23655996,18930342
2021-06-20,California,42726366,23715616,19010750
2021-06-21,California,42836154,23762316,19073838
2021-06-22,California,42893638,23787424,19106214
2021-06-23,California,42995468,23835448,19160020
2021-06-24,California,43105584,23892052,19213532
2021-06-25,California,43255292,23963888,19291404
2021-06-26,California,43378564,24017120,19361444
2021-06-27,California,43591588,24083468,19508120
2021-06-28,California,43715764,24135284,19580480
